Year,PV (MW),Wind (MW),CHP (MW),HP (MW),TH-Storage (MWh),P2G (MW),H2-Storage (MWh),BESS (MW),GasG bus12 (MW),GasG bus1 (MW),Cost (EUR),CO2 (tCO2)
2025,6.168270869461827,13.927634725075855,0.6,0.0,0.0,9.447476211775912,0.0,0.12813465967643456,15.0,0.5,99542077.3962217,150643.5385098866
2026,7.163922575467326,14.090454457847919,0.23860610219132014,0.0,0.0,12.211441969224488,0.0,1.57390294893815,14.133313255042216,0.38166861820035547,107564915.38509059,161504.67249274318
2027,7.163922575467326,14.090454457847919,0.23860610219132014,0.0,0.0,12.211441969224488,0.0,1.57390294893815,14.133313255042216,0.38166861820035547,106327711.18711162,170676.66941916675
2028,6.736510120590815,90.34019152878835,0.48443477322571427,0.0,0.0,25.782136363273395,0.0,0.1476117758833556,6.007063436405376,0.38146003672249434,164129020.7454915,128465.72724940776
2029,7.048522653650869,13.747470414623752,0.23860610219132014,0.0,0.0,12.211441969224488,0.0,1.57390294893815,14.127554231301337,0.38579749902218385,82893909.93451583,134788.55363792815
2030,7.048522653650869,13.747470414623752,0.23860610219132014,0.0,0.0,12.211441969224488,0.0,1.57390294893815,14.127554231301337,0.38579749902218385,83483130.8378365,145320.03135468892
2031,7.048522653650869,13.747470414623752,0.23860610219132014,0.0,0.0,12.211441969224488,0.0,1.57390294893815,14.127554231301337,0.38579749902218385,82142493.09920269,150935.3718973281
2032,6.736510120590815,90.34019152878835,0.48443477322571427,0.0,0.0,25.782136363273395,0.0,0.1476117758833556,6.007063436405376,0.38146003672249434,130982766.20535362,124318.22452341116
2033,6.736510120590815,90.34019152878835,0.48443477322571427,0.0,0.0,25.782136363273395,0.0,0.1476117758833556,6.007063436405376,0.38146003672249434,124772181.20242262,112227.82388640693
