Year,PV (MW),Wind (MW),CHP (MW),HP (MW),TH-Storage (MWh),P2G (MW),H2-Storage (MWh),BESS (MW),GasG bus12 (MW),GasG bus1 (MW),Cost (EUR),CO2 (tCO2)
2025,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,15.0,0.5,54806959.38298321,145131.58157050973
2026,0.0,0.0,0.17266520315180925,0.0,0.0,0.0,0.0,0.0,10.416002365916176,0.02497672947304358,60150870.080244124,147985.36946883344
2027,0.0,0.0,0.17266520315180925,0.0,0.0,0.0,0.0,0.0,10.416002365916176,0.02497672947304358,13222085.517998397,145839.4797348856
2028,0.0,0.0,0.17266520315180925,0.0,0.0,0.0,0.0,0.0,10.416002365916176,0.02497672947304358,12438434.066038966,144859.06030807158
2029,0.0,0.0,0.17266520315180925,0.0,0.0,0.0,0.0,0.0,10.416002365916176,0.02497672947304358,11395132.7560153,142732.75499819106
2030,0.0,0.0,0.17266520315180925,0.0,0.0,0.0,0.0,0.0,10.416002365916176,0.02497672947304358,11211566.82405293,142359.3646897867
2031,0.0,0.0,0.17266520315180925,0.0,0.0,0.0,0.0,0.0,10.507375688023226,0.26704637584043,56425941.874294996,138244.66726749594
2032,0.0,0.0,0.17266520315180925,0.0,0.0,0.0,0.0,0.0,10.416002365916176,0.02497672947304358,55109578.44744694,134505.49098660244
2033,0.0,0.0,0.17266520315180925,0.0,0.0,0.0,0.0,0.0,10.416002365916176,0.02497672947304358,54726718.1781733,129605.43512278478
