Year,PV (MW),Wind (MW),CHP (MW),HP (MW),TH-Storage (MWh),P2G (MW),H2-Storage (MWh),BESS (MW),GasG bus12 (MW),GasG bus1 (MW),Cost (EUR),CO2 (tCO2)
2025,10.856291223145094,6.782394020075827,0.2,0.0,0.0,5.22300905716837,0.0,0.8837987192125965,15.0,0.5,85414517.90809488,147475.21849149495
2026,7.464873385946312,42.70142763678927,0.1573020526583818,0.00012539503715158773,0.0,6.13750011475365,0.0,2.240598484393149,8.766218860190467,0.3607267271585093,100175003.39020881,108147.03463737879
2027,7.262902406664666,44.8482245223131,0.18864334646769632,0.0007264329177363582,0.0,3.641079563898215,0.0,0.46046859417692165,5.177580725815949,0.08842349965737606,354738816.254223,64516.40159677193
2028,7.273647718322197,43.65171196216196,0.1639895189808379,0.0005561135548130813,0.0,4.973932628995724,0.0,0.22863764328338243,2.0469601256567027,0.3642928339872981,65263481.63210136,44495.009860028025
2029,6.211122807051192,62.485138061836075,0.007291335494513371,0.07748788962486586,0.0,6.150292269815745,0.0,0.39850752881232504,3.7583625533491456,0.11345160771445706,65782905.73027742,33010.814473811406
2030,6.0743912237156135,45.34086959628726,0.009709822146264093,0.0019897764464943714,0.0,7.313428801256644,0.0,0.23696710643064145,5.156557839030013,0.10676456099557677,43875675.5450021,34757.229763349285
2031,6.677378097320278,0.3366368875376433,0.005389525184209944,0.002013866830189574,0.0,7.094726506013937,0.0,0.39588083503490273,3.7976032543818943,0.09368288848920173,26850842.131189764,37191.885596198306
2032,5.378543267650049,36.107775802777816,0.012120186490557367,0.0078719861580073,0.0,6.9889427750716475,0.0,2.6295627278037568,1.6658206147393153,0.10484272780133616,53806417.557359874,34491.383292135346
2033,4.749628015038913,59.46737526448608,0.0011011570864057946,0.006992583453412249,0.0,4.221855212716681,0.0,0.37875291345362394,0.8832297622946674,0.047271550850025046,[67910202.8343367],28907.01465697357
