Year,PV (MW),Wind (MW),CHP (MW),HP (MW),TH-Storage (MWh),P2G (MW),H2-Storage (MWh),BESS (MW),GasG bus12 (MW),GasG bus1 (MW),Cost (EUR),CO2 (tCO2)
2025,6.966487908779612,13.747470414623752,0.6,0.0,0,0.0,0.0,0.0,15.0,0.5,571979251.6624625,123143.71381994145
2026,6.168270869461827,13.927634725075855,0.6826770985584664,0.0,0,0.0,0.0,0.0,5.6970493015304555,0.1506802477049467,611735555.642098,110329.63469046343
2027,6.168270869461827,13.927634725075855,0.7653541971169328,0.0,0,0.0,0.0,0.0,5.6970493015304555,0.1506802477049467,647935336.6008478,90505.6470213925
2028,6.168270869461827,13.927634725075855,0.8480312956753991,0.0,0,0.0,0.0,0.0,5.6970493015304555,0.1506802477049467,695497405.332237,74341.0669165624
2029,6.168270869461827,13.927634725075855,0.9307083942338655,0.0,0,0.0,0.0,0.0,5.6970493015304555,0.1506802477049467,746585434.924461,59994.65621524331
2030,6.168270869461827,13.927634725075855,1.0133854927923318,0.0,0,0.0,0.0,0.0,5.6970493015304555,0.1506802477049467,815658029.8808019,50593.40412078891
2031,6.168270869461827,13.927634725075855,1.0960625913507982,0.0,0,0.0,0.0,0.0,5.6970493015304555,0.1506802477049467,869154615.6376866,40866.616525500875
2032,6.168270869461827,13.927634725075855,1.1787396899092646,0.0,0,0.0,0.0,0.0,5.6970493015304555,0.1506802477049467,933763153.7816132,35073.92313766578
2033,6.168270869461827,13.927634725075855,1.261416788467731,0.0,0,0.0,0.0,0.0,5.6970493015304555,0.1506802477049467,999951286.5231243,30395.89597027679
