Year,PV (MW),Wind (MW),CHP (MW),HP (MW),TH-Storage (MWh),P2G (MW),H2-Storage (MWh),BESS (MW),GasG bus12 (MW),GasG bus1 (MW),Cost (EUR),CO2 (tCO2)
2025,11.686877663034654,0.05495197599452606,0.6,0.0,0,0.0,0.0,0.0,15.0,0.5,546875523.5788125,140967.0447553759
2026,11.963854094695868,0.5215745361516149,0.6000997550185533,0.0,0,0.0,0.0,0.0,14.997541310047456,0.475516472945817,517496226.13913983,134306.77907097878
2027,11.60902092764891,0.16417807630011083,0.6002227421017877,0.0,0,0.0,0.0,0.0,14.984756306150741,0.4930169935359067,514452331.4687788,130159.12714732038
2028,7.197580913055184,0.02170390423514945,0.6002430713762824,0.0,0,0.0,0.0,0.0,14.993225116350498,0.49565186338074724,530241979.9374377,128910.14337475412
2029,2.7426925887709235,0.111983270775867,0.6002466351135389,0.0,0,0.0,0.0,0.0,14.986982228716077,0.43955088528924413,550883014.6297938,127712.93002312099
2030,3.6337416250562526,0.19262711990029047,0.6003041259124718,0.0,0,0.0,0.0,0.0,14.946691901626673,0.4975191088778706,587628564.974355,128017.63619625078
2031,3.004817988937526,0.03752513424594639,0.6003614507780856,0.0,0,0.0,0.0,0.0,14.98979727937825,0.4179152225944285,609730185.179058,125037.74827334133
2032,4.0308428187427525,0.21033104913538914,0.6003784925282226,0.0,0,0.0,0.0,0.0,14.956218269449245,0.4188759259368982,639962417.3737636,122037.80712399335
2033,2.764578261395449,0.25070188651321956,0.6003839411906414,0.0,0,0.0,0.0,0.0,14.967257880621034,0.37076232272285914,670276755.0343593,118262.36988450852
