Year,PV (MW),Wind (MW),CHP (MW),HP (MW),TH-Storage (MWh),P2G (MW),H2-Storage (MWh),BESS (MW),GasG bus12 (MW),GasG bus1 (MW),Cost (EUR),CO2 (tCO2)
2025,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,15.0,0.5,54806959.38298321,145131.58157050973
2026,0.0,0.0,0.1693838031505464,0.0,0.0,0.0,0.0,0.0,14.964132269653685,0.4650316542249095,401164921.860142,143226.47859980137
2027,0.0,0.0,0.16830175504771458,0.0,0.0,0.0,0.0,0.0,14.94149505922746,0.4780615603009153,53061767.20739037,141901.54967555392
2028,0.0,0.0,0.169270826739163,0.0,0.0,0.0,0.0,0.0,14.999034238718547,0.4994568046235034,467650330.4774127,141680.52915207617
2029,0.0,0.0,0.1670176695695934,0.0,0.0,0.0,0.0,0.0,14.962733959713402,0.49827754453679857,52524774.59580886,140397.0301800778
2030,0.0,0.0,0.1693229281151242,0.0,0.0,0.0,0.0,0.0,14.996482615703792,0.443690571641115,53241441.07929963,140845.0728024879
2031,0.0,0.0,0.16902746986300884,0.0,0.0,0.0,0.0,0.0,14.998955772104532,0.4813094377233842,614279092.3988718,137537.6267570486
2032,0.0,0.0,0.16988613178562026,0.0,0.0,0.0,0.0,0.0,13.28966620194109,0.4270466387326613,670299478.2526408,134510.94548010916
2033,0.0,0.0,0.16968413855552816,0.0,0.0,0.0,0.0,0.0,14.344223811214796,0.42627894705570823,51284506.74204397,130273.51396869686
