Year,PV (MW),Wind (MW),CHP (MW),HP (MW),TH-Storage (MWh),P2G (MW),H2-Storage (MWh),BESS (MW),GasG bus12 (MW),GasG bus1 (MW),Cost (EUR),CO2 (tCO2)
2025,0.17295010393754165,0.3003643285018276,0.2,0.0,0.0,0.0002250285950244477,0.0,0.05601960040731059,15.0,0.5,57681956.07521119,145246.59582715592
2026,0.6442978958739329,0.15578516549871146,0.14025752738891442,0.002490277483871977,0.0,0.001927747749198458,0.0,0.015631136368776027,14.971782786613598,0.43994805971293177,58156412.20829318,142403.06179584554
2027,0.6594768001932663,0.09245313343038186,0.2277462749781657,0.0064637411103540335,0.0,0.0035527578916548764,0.0,0.22554910068723663,14.941573448954035,0.45406857281581053,58326201.0026466,140706.75914279785
2028,0.6474156044841259,0.12291152468133681,0.21237606968064554,0.023762499512547126,0.0,0.0022425819013134115,0.0,0.007512393965851111,14.981591865365965,0.46828569322512503,58792155.280558005,140260.63529145377
2029,1.6678892247633175,0.03310247375112363,0.22515541103960127,0.006588616508357674,0.0,0.001923033287488106,0.0,0.004892541567864028,14.881862891035489,0.4978839405955138,59098489.03137262,138576.1410202899
2030,1.1412061212641191,0.05949355197218864,0.21160014977589883,0.020788078177530256,0.0,0.00040904126963867225,0.0,0.0010282413138459421,14.96783931424992,0.4886175280532076,59606665.90136165,138755.47653249133
2031,2.315502123031042,0.06380870452950482,0.24461563691136903,0.012206130600323564,0.0,0.00026630232603515715,0.0,0.07419224989454405,14.914021219062978,0.476069073458833,58567405.65867689,134972.71261940265
2032,2.3793600709279272,0.3170983325376362,0.22768603090584635,0.04271562350833423,0.0,0.0021259569004688887,0.0,0.007988397519793047,14.94519394240596,0.45924874675012517,57834177.37279651,131357.1654516145
2033,6.08122207712146,0.05656809398434248,0.00027560392813943957,0.004303818643159443,0.0,0.009959596576658373,0.0,0.21369838058665813,14.964664459416948,0.4443334436851031,57243403.87359507,126222.0307889961
