x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x28,x30,x32,x37,x39,x41,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x29,x31,x33,x34,x35,x36,x38,x40,x42
2,1,13,12,13,4,5,3,9,10,9,9,8,6,0,6,6,11,12,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,15.0,0.5
2,1,13,12,13,4,5,5,9,10,9,9,8,6,0,6,6,11,12,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17266520315180925,0.0,0.0,0.0,0.0,0.0,10.416002365916176,0.02497672947304358
2,1,13,12,13,4,5,5,9,10,9,9,8,6,0,6,6,11,12,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17266520315180925,0.0,0.0,0.0,0.0,0.0,10.416002365916176,0.02497672947304358
2,1,13,12,13,4,5,5,9,10,9,9,8,6,0,6,6,11,12,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17266520315180925,0.0,0.0,0.0,0.0,0.0,10.416002365916176,0.02497672947304358
2,1,13,12,13,4,5,5,9,10,9,9,8,6,0,6,6,11,12,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17266520315180925,0.0,0.0,0.0,0.0,0.0,10.416002365916176,0.02497672947304358
2,1,13,12,13,4,5,5,9,10,9,9,8,6,0,6,6,11,12,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17266520315180925,0.0,0.0,0.0,0.0,0.0,10.416002365916176,0.02497672947304358
2,1,13,12,13,4,5,5,9,10,9,9,8,6,0,6,6,11,12,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17266520315180925,0.0,0.0,0.0,0.0,0.0,10.507375688023226,0.26704637584043
2,1,13,12,13,4,5,5,9,10,9,9,8,6,0,6,6,11,12,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17266520315180925,0.0,0.0,0.0,0.0,0.0,10.416002365916176,0.02497672947304358
2,1,13,12,13,4,5,5,9,10,9,9,8,6,0,6,6,11,12,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17266520315180925,0.0,0.0,0.0,0.0,0.0,10.416002365916176,0.02497672947304358
