Year,PV (MW),Wind (MW),CHP (MW),HP (MW),TH-Storage (MWh),P2G (MW),H2-Storage (MWh),BESS (MW),GasG bus12 (MW),GasG bus1 (MW),Cost (EUR),CO2 (tCO2)
2025,8.510386667473439,29.36141483736795,0.2,0.0,0.0,0.5336254511708038,0.0,0.8281119756391366,15.0,0.5,92071200.56841767,102647.2849740322
2026,6.211253239168741,90.85955030930955,0.17266520315180925,0.003873391574059415,0.0,4.9157315928033825,0.0,0.20466885765565168,10.416002365916176,0.02497672947304358,102251509.26893812,33689.25463385785
2027,6.211253239168741,90.85955030930955,0.17266520315180925,0.003873391574059415,0.0,4.9157315928033825,0.0,0.20466885765565168,10.416002365916176,0.02497672947304358,90929886.54097438,28494.81681909148
2028,6.211253239168741,90.85955030930955,0.17266520315180925,0.003873391574059415,0.0,4.9157315928033825,0.0,0.20466885765565168,10.416002365916176,0.02497672947304358,88811636.16924906,26948.723422186107
2029,6.253893143180778,88.32415021170108,0.17271827188072159,0.003873391574059415,0.0,4.802028879249353,0.0,0.20466885765565168,10.43850070113644,0.02497672947304358,93176166.76021022,26424.649729643337
2030,6.2098252697344405,90.85955030930955,0.17266520315180925,0.003873391574059415,0.0,4.805733174885831,0.0,0.20466885765565168,10.416002365916176,0.02497672947304358,101715341.71741927,26445.350753543302
2031,6.756559425897548,27.553072640864904,0.17266520315180925,0.003873391574059415,0.0,4.5787946886274264,0.0,0.07678863725806218,10.416002365916176,0.02497672947304358,50442847.10118991,26878.148969853217
2032,6.253893143180778,88.32415021170108,0.17271827188072159,0.003873391574059415,0.0,4.802028879249353,0.0,0.20466885765565168,10.43850070113644,0.02497672947304358,[94683108.23211241],26778.91992635222
2033,6.756559425897548,27.553072640864904,0.17266520315180925,0.003873391574059415,0.0,4.5787946886274264,0.0,0.07678863725806218,10.416002365916176,0.02497672947304358,[53974217.69534826],26955.070028848633
