Year,PV (MW),Wind (MW),CHP (MW),HP (MW),TH-Storage (MWh),P2G (MW),H2-Storage (MWh),BESS (MW),GasG bus12 (MW),GasG bus1 (MW),Cost (EUR),CO2 (tCO2)
2025,12.580516020670302,13.582424608889433,0.6,0.0,0.0,0.0,0.0,0.0,15.0,0.5,67610219.63766289,121483.42013347425
2026,9.427691759947614,59.94949108085676,0.16166062947480372,0.0,0.0,0.0,0.0,0.0,13.971428017637853,0.06651346796503549,71112845.02971184,47537.37501939997
2027,8.661212481046212,32.925695710573116,0.17606845872501506,0.0,0.0,0.0,0.0,0.0,1.4488507677230071,0.2489986263246353,46420242.09124023,27239.937380572024
2028,6.601614387102808,29.36216027959715,0.16558717506068726,0.0,0.0,0.0,0.0,0.0,3.7382719645382174,0.14727315986602482,32199695.577026397,19827.724623701786
2029,7.669416372837707,11.554005293527247,0.1550420456870391,0.0,0.0,0.0,0.0,0.0,0.3238235559345414,0.07235609882448304,18790050.660175562,14855.193277795168
2030,7.274312744292498,35.82046082684819,0.1575569180505104,0.0,0.0,0.0,0.0,0.0,0.47482070130101056,0.10713357093663049,36438048.595513165,12510.758577982699
2031,5.600562364448262,29.137267693596115,0.169411440456068,0.0,0.0,0.0,0.0,0.0,0.05550958343250738,0.08408388100185105,27786808.886468887,10327.573816985607
2032,3.240378680292301,10.166342891442326,0.1507059709839382,0.0,0.0,0.0,0.0,0.0,13.79169040511098,0.07850929907164327,8907036.986158848,29750.30097771436
2033,3.8058268118501495,26.905173507488374,0.1748187927035913,0.0,0.0,0.0,0.0,0.0,0.0018772418460236548,0.0745968630106482,[27188145.91099161],8754.706067999714
