x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x28,x30,x32,x37,x39,x41,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x29,x31,x33,x34,x35,x36,x38,x40,x42
2,2,12,12,14,3,5,5,11,7,8,11,7,6,0,6,6,4,12,1,0.8781425034294131,0.9578895301505019,0.31551563100606295,0.018288277344191806,0.6661309095085826,0.10322600657764203,0.2936141483736795,0.019366957870297075,0.2655466593722262,0.5741176054920131,0.6997583600209312,0.6944001577277451,0.5358964059155116,0.9445947559908133,13.747470414623752,0.6,0.0,0.0,0.0,0.0,0.0,15.0,0.5
1,2,12,13,13,5,3,3,8,8,8,8,10,6,0,6,6,2,12,1,0.0983468338330501,0.5331652849730171,0.6865009276815837,0.7501443149449675,0.2804439920644052,0.44789352617590517,0.28777533858634874,0.678835532939891,0.4915731592803383,0.14672857490581015,0.10233442882782584,0.41417926952690265,0.6637946452197888,0.5865550405019929,13.927634725075855,0.08267709855846639,0.0,0.0,0.0,0.0,0.0,5.6970493015304555,0.1506802477049467
1,2,12,13,13,5,3,3,8,8,8,8,10,6,0,6,6,2,12,1,0.0983468338330501,0.5331652849730171,0.6865009276815837,0.7501443149449675,0.2804439920644052,0.44789352617590517,0.28777533858634874,0.678835532939891,0.4915731592803383,0.14672857490581015,0.10233442882782584,0.41417926952690265,0.6637946452197888,0.5865550405019929,13.927634725075855,0.08267709855846639,0.0,0.0,0.0,0.0,0.0,5.6970493015304555,0.1506802477049467
1,2,12,13,13,5,3,3,8,8,8,8,10,6,0,6,6,2,12,1,0.0983468338330501,0.5331652849730171,0.6865009276815837,0.7501443149449675,0.2804439920644052,0.44789352617590517,0.28777533858634874,0.678835532939891,0.4915731592803383,0.14672857490581015,0.10233442882782584,0.41417926952690265,0.6637946452197888,0.5865550405019929,13.927634725075855,0.08267709855846639,0.0,0.0,0.0,0.0,0.0,5.6970493015304555,0.1506802477049467
1,2,12,13,13,5,3,3,8,8,8,8,10,6,0,6,6,2,12,1,0.0983468338330501,0.5331652849730171,0.6865009276815837,0.7501443149449675,0.2804439920644052,0.44789352617590517,0.28777533858634874,0.678835532939891,0.4915731592803383,0.14672857490581015,0.10233442882782584,0.41417926952690265,0.6637946452197888,0.5865550405019929,13.927634725075855,0.08267709855846639,0.0,0.0,0.0,0.0,0.0,5.6970493015304555,0.1506802477049467
1,2,12,13,13,5,3,3,8,8,8,8,10,6,0,6,6,2,12,1,0.0983468338330501,0.5331652849730171,0.6865009276815837,0.7501443149449675,0.2804439920644052,0.44789352617590517,0.28777533858634874,0.678835532939891,0.4915731592803383,0.14672857490581015,0.10233442882782584,0.41417926952690265,0.6637946452197888,0.5865550405019929,13.927634725075855,0.08267709855846639,0.0,0.0,0.0,0.0,0.0,5.6970493015304555,0.1506802477049467
1,2,12,13,13,5,3,3,8,8,8,8,10,6,0,6,6,2,12,1,0.0983468338330501,0.5331652849730171,0.6865009276815837,0.7501443149449675,0.2804439920644052,0.44789352617590517,0.28777533858634874,0.678835532939891,0.4915731592803383,0.14672857490581015,0.10233442882782584,0.41417926952690265,0.6637946452197888,0.5865550405019929,13.927634725075855,0.08267709855846639,0.0,0.0,0.0,0.0,0.0,5.6970493015304555,0.1506802477049467
1,2,12,13,13,5,3,3,8,8,8,8,10,6,0,6,6,2,12,1,0.0983468338330501,0.5331652849730171,0.6865009276815837,0.7501443149449675,0.2804439920644052,0.44789352617590517,0.28777533858634874,0.678835532939891,0.4915731592803383,0.14672857490581015,0.10233442882782584,0.41417926952690265,0.6637946452197888,0.5865550405019929,13.927634725075855,0.08267709855846639,0.0,0.0,0.0,0.0,0.0,5.6970493015304555,0.1506802477049467
1,2,12,13,13,5,3,3,8,8,8,8,10,6,0,6,6,2,12,1,0.0983468338330501,0.5331652849730171,0.6865009276815837,0.7501443149449675,0.2804439920644052,0.44789352617590517,0.28777533858634874,0.678835532939891,0.4915731592803383,0.14672857490581015,0.10233442882782584,0.41417926952690265,0.6637946452197888,0.5865550405019929,13.927634725075855,0.08267709855846639,0.0,0.0,0.0,0.0,0.0,5.6970493015304555,0.1506802477049467
