Year,PV (MW),Wind (MW),CHP (MW),HP (MW),TH-Storage (MWh),P2G (MW),H2-Storage (MWh),BESS (MW),GasG bus12 (MW),GasG bus1 (MW),Cost (EUR),CO2 (tCO2)
2025,11.591643096608243,2.9570296008694754,0.6,0.0,0.0,0.08573970605559164,0.0,0.6796464089766189,15.0,0.5,60361344.896350265,137144.95857776253
2026,9.299956932421818,11.704686216597727,0.15733600952277063,0.0,0.0,0.017232077662453896,0.0,1.4994350903068854,9.964310968412919,0.4694462216010115,65951892.81399372,121878.47254556003
2027,10.49043092685314,19.558410480425202,0.15539444242439965,0.0,0.0,0.07025948069218559,0.0,0.013176124774417708,11.629445162990255,0.17734604984409605,57917395.650891125,92751.56254206083
2028,8.29199251277432,10.68089435396998,0.16828712823098643,0.0,0.0,0.0032780755066269896,0.0,0.10047685643511813,11.733420749649493,0.2756615017033347,44706802.53061539,80374.18733629481
2029,9.039995455136983,18.997009765522108,0.1661111661335122,0.0,0.0,0.013232017019018764,0.0,1.5218252714687528,14.989662126818262,0.28443420758438304,37091169.1868152,59724.5674195762
2030,6.429855245902753,9.979083706481624,0.16869751528596394,0.0,0.0,0.02806519283353698,0.0,0.5502118025533207,10.117598825070631,0.3342242284575364,30720444.706852973,55358.975047444175
2031,5.704616863624914,1.1071093321855767,0.167815071422691,0.0,0.0,0.0011119710450418884,0.0,1.6309932213284768,3.712191475578882,0.1921446650145775,29104582.098910987,55639.591384680476
2032,4.833386893600299,1.1621218389682255,0.1691495441187912,0.0,0.0,0.0021687085924387613,0.0,1.579852082361357,11.81135529587197,0.3275965461498252,1752502.7402396202,56005.10942932206
2033,3.9065048514735103,20.234569355505375,0.17027077298279306,0.0,0.0,0.13705050838299493,0.0,0.36713862218147275,5.516943115934358,0.0018188100851946835,[33128120.05547601],41288.54710308471
