Year,PV (MW),Wind (MW),CHP (MW),HP (MW),TH-Storage (MWh),P2G (MW),H2-Storage (MWh),BESS (MW),GasG bus12 (MW),GasG bus1 (MW),Cost (EUR),CO2 (tCO2)
2025,0.0,0.0,0.6,0.0,0,0.0,0.0,0.0,15.0,0.5,54806959.38298321,145131.58157050973
2026,0.0,0.0,0.017889698021666678,0.0,0,0.0,0.0,0.0,14.97538495418376,0.4526730050901276,627064612.4163072,142628.6034229438
2027,0.0,0.0,0.004902970897939465,0.0,0,0.0,0.0,0.0,14.996415507113749,0.4925344396188109,655436640.7033926,141315.68435999763
2028,0.0,0.0,0.0006759425509418339,0.0,0,0.0,0.0,0.0,14.989268169423925,0.485393386109595,52204354.705060124,141238.89891820235
2029,0.0,0.0,0.0008453645507127613,0.0,0,0.0,0.0,0.0,14.996029025068257,0.4479674785218819,733758200.848369,140021.215232615
2030,0.0,0.0,0.07513735729233587,0.0,0,0.0,0.0,0.0,14.99718969990235,0.460055638252469,52561035.85547018,140480.18694354923
2031,0.0,0.0,0.027967372564890847,0.0,0,0.0,0.0,0.0,14.985885841007915,0.4508807394090948,887315812.3097515,137255.92974366894
2032,0.0,0.0,0.109308759063762,0.0,0,0.0,0.0,0.0,13.13005507191657,0.42891742690969903,52467971.63947141,134274.9186215111
2033,0.0,0.0,0.0069108044564046844,0.0,0,0.0,0.0,0.0,0.004823770482975446,0.05323483529517542,1062309882.0531723,127888.76579126694
