Year,PV (MW),Wind (MW),CHP (MW),HP (MW),TH-Storage (MWh),P2G (MW),H2-Storage (MWh),BESS (MW),GasG bus12 (MW),GasG bus1 (MW),Cost (EUR),CO2 (tCO2)
2025,10.041545309061457,13.927634725075855,0.6,0.0,0.0,0.0,0.0,0.0,15.0,0.5,66233469.02428138,121894.5273171147
2026,7.048522653650869,13.747470414623752,0.23860610219132014,0.0,0.0,0.0,0.0,0.0,14.127554231301337,0.38579749902218385,53326288.541425586,101335.88263862114
2027,7.048522653650869,13.747470414623752,0.23860610219132014,0.0,0.0,0.0,0.0,0.0,14.127554231301337,0.38579749902218385,44622498.84264839,83147.11943669055
2028,7.048522653650869,13.747470414623752,0.23860610219132014,0.0,0.0,0.0,0.0,0.0,14.127554231301337,0.38579749902218385,344566366.7422076,68857.9296900901
2029,7.048522653650869,13.747470414623752,0.23860610219132014,0.0,0.0,0.0,0.0,0.0,14.127554231301337,0.38579749902218385,353886252.37334865,56970.35420152989
2030,7.048522653650869,13.747470414623752,0.23860610219132014,0.0,0.0,0.0,0.0,0.0,14.127554231301337,0.38579749902218385,27258933.084444165,50320.34259952474
2031,7.048522653650869,13.747470414623752,0.23860610219132014,0.0,0.0,0.0,0.0,0.0,14.127554231301337,0.38579749902218385,22490659.22950369,43753.308541675564
2032,7.048522653650869,13.747470414623752,0.23860610219132014,0.0,0.0,0.0,0.0,0.0,14.127554231301337,0.38579749902218385,[20029841.03254068],40179.72417139407
2033,7.048522653650869,13.747470414623752,0.23860610219132014,0.0,0.0,0.0,0.0,0.0,14.127554231301337,0.38579749902218385,462301069.0937836,37579.40536956898
