F1,F2
154059098.4661132,65698.07359492447
137714267.20010602,97905.79594906603
116757774.64098775,161769.93151732875
131657755.37466818,116128.22787704854
154059098.4661132,65698.07359492447
116757774.64098775,161769.93151732875
131657755.37466818,116128.22787704854
134519086.8183198,86299.76589849396
147088894.10517234,67519.65367193092
154059098.4661132,65698.07359492447
116757774.64098775,161769.93151732875
131657755.37466818,116128.22787704854
145108004.30097735,67318.61745353235
106993110.23219293,171942.23977015936
132029927.40227401,86139.44627466748
116757774.64098775,161769.93151732875
131657755.37466818,116128.22787704854
106993110.23219293,171942.23977015936
132029927.40227401,86139.44627466748
142082775.66547382,52019.4326094653
117940686.39668655,158874.69264574227
138816003.4243493,85222.30014905763
103844399.08579743,173840.13855551693
131642771.60091925,116128.27272052964
106993110.23219293,171942.23977015936
103844399.08579743,173840.13855551693
128408941.19782329,85830.36314713105
116006005.28153187,138404.1117520498
139156496.09714,50503.50417397827
115694598.22250926,161703.49404536854
138720152.19553554,85209.22860345882
128408941.19782329,85830.36314713105
116006005.28153187,138404.1117520498
129560580.49981916,72984.80020870818
101474595.30702728,161902.44401693478
121119039.90769601,95906.01408027162
101841389.32272315,157664.58091810683
138745529.13131064,50481.14542778683
116006005.28153187,138404.1117520498
129560580.49981916,72984.80020870818
101474595.30702728,161902.44401693478
121119039.90769601,95906.01408027162
101841389.32272315,157664.58091810683
138745529.13131064,50481.14542778683
110292003.25504887,156244.6526863701
118088237.59398413,96757.23606004729
130016887.63153762,50619.18262679796
126689639.27151525,73043.42232333992
138745529.13131064,50481.14542778683
101474595.30702728,161902.44401693478
115305303.84447789,138356.8308770028
125685207.98156893,68956.52010114217
103710504.27020746,155544.00913871333
118088237.59398413,96757.23606004729
121119039.90769601,95906.01408027162
129918411.98464549,50639.399624839105
130016887.63153762,50619.18262679796
101841389.32272315,157664.58091810683
138745529.13131064,50481.14542778683
99177514.1399461,161924.16498880586
107719149.7134257,83600.44837266472
104287051.92830813,137505.70060295428
125685207.98156893,68956.52010114217
129743883.20553493,68943.16108949241
130016887.63153762,50619.18262679796
103797116.40439737,152776.45661492585
129918411.98464549,50639.399624839105
101841389.32272315,157664.58091810683
99177514.1399461,161924.16498880586
107719149.7134257,83600.44837266472
103579121.02093214,150273.6610740713
104280902.22221553,137505.32557564718
123068113.92638099,48958.311756807336
100714261.63000429,156493.7738831559
107719149.7134257,83600.44837266472
104280902.22221553,137505.32557564718
123068113.92638099,48958.311756807336
103511936.24159515,138208.98674060655
119506444.02745658,68560.63498253573
123919805.01054054,48843.51592816775
93516496.5364008,156304.1809301944
119506444.02745658,68560.63498253573
113487006.92634624,69750.47717293171
92827662.73754317,136814.72701928852
121276397.26152515,48524.62822355375
98700583.50728393,136597.75918979332
103548527.65868092,83288.84949501205
113487006.92634624,69750.47717293171
92827662.73754317,136814.72701928852
121276397.26152515,48524.62822355375
115995808.29193407,67783.16702473891
98687451.49357468,136561.34420149622
118349181.99942535,67629.37027830686
91884986.13858771,139376.78473852528
103548258.07084566,83288.82895419933
89486335.7602688,156139.9984388362
89278802.1468957,156088.21337075578
121276397.26152515,48524.62822355375
103548258.07084566,83288.82895419933
98687451.49357468,136561.34420149622
106712897.76175737,69880.40047231401
116691274.12299103,67509.31659764927
113487006.92634624,69750.47717293171
91884986.13858771,139376.78473852528
89696540.8801843,155996.9989365198
95526545.46197504,136601.52001132228
121276397.26152515,48524.62822355375
103548258.07084566,83288.82895419933
98687451.49357468,136561.34420149622
91884986.13858771,139376.78473852528
95526545.46197504,136601.52001132228
91756460.11897588,140914.22158363945
104808503.36784899,69737.95667142708
110473185.5997532,65671.81221809002
87420000.84514916,152550.42117026215
121276397.26152515,48524.62822355375
103548258.07084566,83288.82895419933
104808503.36784899,69737.95667142708
87420000.84514916,152550.42117026215
90557416.70978987,138692.09245980455
91535218.7736122,133419.34078971355
110423760.50932801,65667.97279882705
90059329.22634095,140749.37022741363
157001361.57313913,48466.692127770046
87420000.84514916,152550.42117026215
103548258.07084566,83288.82895419933
91535218.7736122,133419.34078971355
121276397.26152515,48524.62822355375
110454215.86195344,65488.10460107816
121233387.54815233,48647.879828644516
90059329.22634095,140749.37022741363
104564544.89217663,69780.917734232
104808503.36784899,69737.95667142708
87420000.84514916,152550.42117026215
120178471.5929513,48432.639100645494
91535218.7736122,133419.34078971355
103299449.50228363,86291.07052173879
110454215.86195344,65488.10460107816
90059329.22634095,140749.37022741363
108343998.47548741,65530.77105562794
103548258.07084566,83288.82895419933
87624782.72526252,149299.47960591424
104564544.89217663,69780.917734232
91535218.7736122,133419.34078971355
103548258.07084566,83288.82895419933
104564544.89217663,69780.917734232
