Year,PV (MW),Wind (MW),CHP (MW),HP (MW),TH-Storage (MWh),P2G (MW),H2-Storage (MWh),BESS (MW),GasG bus12 (MW),GasG bus1 (MW),Cost (EUR),CO2 (tCO2)
2025,13.5749428698227,14.36143078417402,0.6,0.0,0.0,0.0,0.0,1.9231103611820395,15.0,0.5,69249796.9041037,120054.00297406124
2026,12.820209595258559,67.09336751642702,0.1659156407054799,0.0,0.0,0.0,0.0,1.3342888978323129,11.088587289720296,0.3854510077919726,77714648.13325715,41349.27739207338
2027,10.490032720106463,16.440054471825015,0.1609401952289481,0.0,0.0,0.0,0.0,1.2247210726502542,5.419417072622938,0.40907916057098354,32109295.478888422,31018.749105432915
2028,8.439889849488987,34.539120969735784,0.16161214167673021,0.0,0.0,0.0,0.0,0.343155526232908,0.1723505121193269,0.03858308587931789,39673221.4954609,16152.173192352768
2029,4.493221825014415,45.94791319928984,0.15269303893106584,0.0,0.0,0.0,0.0,0.03297029510605454,0.0026231529692119855,0.027163262867814175,43888229.41291046,11483.511095054848
2030,4.4369400670245716,1.9149645403682527,0.16515604457588767,0.0,0.0,0.0,0.0,0.2584975584642916,0.08687696478390868,0.005289593873595122,9647547.373213947,12005.56262867947
2031,3.8387991168795454,2.583247123064278,0.15699382392210057,0.0,0.0,0.0,0.0,1.0194205820734208,2.7106637397153763,0.0064273493839028025,8279761.184273422,14897.116059218373
2032,5.719112131057983,0.6148934317186274,0.155921474560576,0.0,0.0,0.0,0.0,0.3054431915656748,0.16116607980040698,0.03669068822667637,8516057.277518213,11541.537660042475
2033,4.184402003276244,3.8920168911888147,0.1482650836205479,0.0,0.0,0.0,0.0,0.3311278691589841,0.25754661971552495,0.056284602819981634,10448056.317443132,11322.635107480353
