x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x28,x30,x32,x37,x39,x41,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x29,x31,x33,x34,x35,x36,x38,x40,x42
2,1,13,12,13,4,3,4,7,9,8,7,7,6,0,6,6,3,12,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,15.0,0.5
2,1,13,14,13,5,4,3,11,11,11,11,11,6,0,6,6,8,12,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017889698021666678,0.0,0.0,0.0,0.0,0.0,14.97538495418376,0.4526730050901276
2,1,12,14,13,5,5,3,11,8,11,11,11,6,0,6,6,6,12,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004902970897939465,0.0,0.0,0.0,0.0,0.0,14.996415507113749,0.4925344396188109
2,1,12,14,14,5,5,3,11,11,11,7,11,6,0,6,6,7,12,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006759425509418339,0.0,0.0,0.0,0.0,0.0,14.989268169423925,0.485393386109595
2,1,13,14,13,5,4,3,11,11,11,11,11,6,0,6,6,14,12,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008453645507127613,0.0,0.0,0.0,0.0,0.0,14.996029025068257,0.4479674785218819
2,1,12,14,13,4,4,3,11,11,11,7,11,6,0,6,6,10,12,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07513735729233587,0.0,0.0,0.0,0.0,0.0,14.99718969990235,0.460055638252469
2,1,13,12,13,3,5,4,11,9,11,11,11,6,0,6,6,3,12,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027967372564890847,0.0,0.0,0.0,0.0,0.0,14.985885841007915,0.4508807394090948
2,1,13,12,12,3,5,5,7,9,8,7,9,6,0,6,6,13,12,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.109308759063762,0.0,0.0,0.0,0.0,0.0,13.13005507191657,0.42891742690969903
1,1,13,12,12,5,3,3,11,8,8,7,11,6,0,6,6,6,12,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0069108044564046844,0.0,0.0,0.0,0.0,0.0,0.004823770482975446,0.05323483529517542
