Year,PV (MW),Wind (MW),CHP (MW),HP (MW),TH-Storage (MWh),P2G (MW),H2-Storage (MWh),BESS (MW),GasG bus12 (MW),GasG bus1 (MW),Cost (EUR),CO2 (tCO2)
2025,11.591643096608243,2.9570296008694754,0.6,0.0,0.0,0.08573970605559164,0.0,0.6796464089766189,15.0,0.5,58406666.85226238,137144.95857776253
2026,9.923371230464497,4.493180301856235,0.160901552784405,0.0,0.0,0.04471598516854682,0.0,0.04362121497636735,14.992297657476671,0.3456963682861878,57999794.83079845,126759.74500973956
2027,8.470141452066732,28.665540039358447,0.16952459503504436,0.0,0.0,0.004575106901190784,0.0,0.09426521062078047,11.917865027619898,0.48029119559759187,66678385.05908424,90154.66537646769
2028,8.793477379008058,15.99261347644675,0.16837078361559038,0.0,0.0,0.05837407132828186,0.0,0.9606623570977721,14.654980990881123,0.014495086053447792,44333757.63787565,70884.06863277742
2029,9.722849021811033,11.46457686324326,0.1696279289196791,0.0,0.0,0.005020133942832775,0.0,1.1479796594933136,7.65418418651124,0.34360528530292983,42806972.05803102,62255.25395761311
2030,6.054110026743583,14.806447316732473,0.1608355574687915,0.0,0.0,0.30809868247657773,0.0,0.004781348228377391,9.504493435172751,0.22363457992253113,37644888.092994034,52114.13034770667
2031,2.3570223669883332,12.796957195231386,0.16729387598267736,0.0,0.0,0.02713529953091949,0.0,0.03416276926272093,5.445647034217137,0.0920879882016393,29435286.780714154,43442.65090898637
2032,4.885713834389927,1.875447517748409,0.15924665447824268,0.0,0.0,0.006904022538034904,0.0,1.2251641302591496,13.197419680424876,0.19260466779003588,20615063.404368877,46155.69724832347
2033,3.958393702012465,3.940816641894857,0.15849470361261372,0.0,0.0,0.01378012911467695,0.0,0.023480782469965277,1.8346940922671493,0.2379083730197985,59174616.38926679,40682.745298775146
