Year,PV (MW),Wind (MW),CHP (MW),HP (MW),TH-Storage (MWh),P2G (MW),H2-Storage (MWh),BESS (MW),GasG bus12 (MW),GasG bus1 (MW),Cost (EUR),CO2 (tCO2)
2025,9.175656560611605,46.18194881706028,0.6,0.0,0.0,0.12556763958001338,0.0,1.2292466701028861,15.0,0.5,78501107.72495937,77728.99839929157
2026,8.63144451370766,49.92074472729806,0.16598580538612007,0.0,0.0,0.009891944949001604,0.0,1.3634648609766535,7.217094249435714,0.46170175811296194,60485522.20185542,34558.49882277554
2027,4.864517372596009,32.19789093892851,0.14873642320409952,0.0,0.0,0.02624208103760382,0.0,1.1509069804890177,1.739415167748548,0.09657819882968366,35341393.03834218,19454.081932768495
2028,6.590030484185082,28.705298553111433,0.17248625745400667,0.0,0.0,0.052583290389005305,0.0,1.2317081367930829,0.18703212007172826,0.08475904041613,32630334.202640474,14330.901687200767
2029,4.8177730656933955,26.930660642521246,0.18454479896365458,0.0,0.0,0.0692163660232153,0.0,1.1056658511987363,9.301597208397313,0.09910696927272426,24798010.329821408,23724.11216321967
2030,3.963191339052247,14.498779316669385,0.14857355996474705,0.0,0.0,0.0062460146271127205,0.0,1.1450410677733884,0.022047506155905144,0.16849256019477937,6862485.879041553,11536.108604227804
2031,4.940468556923081,21.089489452695446,0.16339341524400794,0.0,0.0,0.0027257375330849987,0.0,1.1596888767747868,0.0009757968999585392,0.14448474109634182,22693594.158489108,10620.625023282262
2032,6.430293739568753,42.41155819650302,0.17376182227537065,0.0,0.0,0.02704627479165035,0.0,0.9505509110304753,0.36616143479120467,0.05682851610660511,37236595.20176667,9076.842486384901
2033,4.2730321703586505,39.49435754966176,0.14444319492171098,0.0,0.0,0.25270271972363356,0.0,0.8748857343814409,3.8922239798700504,0.22361392438443176,[37082594.35398304],13194.541379111875
