Year,PV (MW),Wind (MW),CHP (MW),HP (MW),TH-Storage (MWh),P2G (MW),H2-Storage (MWh),BESS (MW),GasG bus12 (MW),GasG bus1 (MW),Cost (EUR),CO2 (tCO2)
2025,11.084884332166956,0.7069124760218521,0.6,0.0,0.0,0.058290391969082214,0.0,1.1774836407903668,15.0,0.5,66521135.00402504,140429.64568944802
2026,10.916849588580606,62.26448592356146,0.16353214316048006,0.0,0.0,0.18367170349817585,0.0,1.9022984852452893,14.285286933589818,0.316550614498538,83143701.32086489,57025.51333039522
2027,10.22860775163637,34.109703239726585,0.16224856158488984,0.0,0.0,0.07373700341309392,0.0,1.1696162338286673,6.241403811838982,0.10504354397094129,52889301.91695005,32815.725031391936
2028,9.302776427282716,17.222123293666534,0.17050028699192393,0.0,0.0,0.10669645100074596,0.0,0.5729582498869298,5.377036670711828,0.28286996504748757,33029083.89506471,26425.941943814847
2029,8.860441515475525,15.94945869370793,0.15958725294157294,0.0,0.0,0.04575009596730808,0.0,0.3548903749611489,1.0895236980460181,0.33055162028365204,27483225.627766967,19034.247842506862
2030,4.787462551932518,0.42335621830157066,0.16278998290641253,0.0,0.0,0.07856567332079842,0.0,0.07183742298522108,0.023072267976124994,0.28443513602434545,20556336.376705825,20893.300154757017
2031,4.04676191653707,0.5016533737121289,0.16013644552767772,0.0,0.0,0.7326036229538365,0.0,0.3252615116918118,0.363990739949419,0.02897887841036837,24714282.70883912,22133.146546268767
2032,5.653691082119733,7.230216617020716,0.15867688437158164,0.0,0.0,0.008314874104824177,0.0,0.2932455535809756,0.054640297445233924,0.007152496878820013,22672417.32465428,20216.333999343504
2033,2.8278833238255086,13.467119589084183,0.16368378238639825,0.0,0.0,9.344937700776074e-05,0.0,0.049460859950294145,7.367113859644677,0.04013096924322454,24897901.9362396,24459.96756616139
