x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x28,x30,x32,x37,x39,x41,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x29,x31,x33,x34,x35,x36,x38,x40,x42
2,1,12,12,12,3,5,3,7,7,7,9,8,6,0,6,6,2,12,1,0.0023860705031180512,0.0029652493726868012,0.044338300855175365,0.0060290708613618335,0.000799048704265979,0.006857504604743145,0.055912178628916454,0.008205041181202683,0.00023285931743696232,0.0059912655644412775,0.0009504445592039838,0.005933883743600779,0.022750892482402068,0.009598293558986278,0.3003643285018276,0.2,0.0,0.0,0.0002250285950244477,0.0,0.05601960040731059,15.0,0.5
1,1,13,14,12,3,5,4,9,9,7,7,10,6,0,6,6,8,12,1,0.05515867360209272,0.034061020456149116,0.14508469784693512,0.01977398378844198,0.00036583649861443926,0.006899178724176568,0.1358843275362999,0.013114499768940139,0.027965997614310557,0.08536351899386087,0.03125412605935479,0.003950514609238495,0.008001203512293286,0.07742031686322497,0.15578516549871146,0.14025752738891442,0.002490277483871977,0.0,0.001927747749198458,0.0,0.015631136368776027,14.971782786613598,0.43994805971293177
2,2,12,13,13,5,3,5,7,10,10,8,9,6,0,6,6,6,12,1,0.10386481814294156,0.009124819719088809,0.24858369177488066,0.015969467701131012,0.0009552375692356092,0.006226787068291176,0.1114081035559846,0.04477692513513853,0.0076720557805995335,0.01970344653229612,2.706961361236744e-05,0.03308914406280348,0.04578639644423113,0.012288837093031697,0.09245313343038186,0.2277462749781657,0.0064637411103540335,0.0,0.0035527578916548764,0.0,0.22554910068723663,14.941573448954035,0.45406857281581053
1,1,13,12,12,5,4,5,7,7,9,9,9,6,0,6,6,10,12,1,0.02528215700888789,0.0006098199948294247,0.0007729427403707079,0.0978402240305199,0.0024723811632425953,0.013923134693018677,0.1475869075691392,0.08230161920004375,0.027124390494235498,0.006226430846523275,0.032765524749804514,0.009444931025402241,0.1998672455427337,0.0011978954253745989,0.12291152468133681,0.21237606968064554,0.023762499512547126,0.0,0.0022425819013134115,0.0,0.007512393965851111,14.981591865365965,0.46828569322512503
1,2,14,12,14,4,5,4,7,9,9,11,10,6,0,6,6,14,12,1,0.09379058557965941,0.04604176882630943,0.3187628442523274,0.10662612301214605,0.2095246562724126,0.05034435281817659,0.030409464306054353,0.024162432563678466,0.2506797874958779,0.009412214410773678,0.05431837905060641,0.09627034704247198,0.15165958373870755,0.22588668539411572,0.03310247375112363,0.22515541103960127,0.006588616508357674,0.0,0.001923033287488106,0.0,0.004892541567864028,14.881862891035489,0.4978839405955138
2,2,13,14,12,5,5,5,9,10,11,11,11,6,0,6,6,12,12,1,0.07674879129753451,0.06170051182872352,0.2568504900340917,0.024718453744477953,0.137189886743786,0.014690957243887377,0.153831854032003,0.011480443642627666,0.019206451310312192,0.0006882918919021153,0.0798284074431435,0.0094498715216529,0.0051552812798234815,0.2896664292501534,0.05949355197218864,0.21160014977589883,0.020788078177530256,0.0,0.00040904126963867225,0.0,0.0010282413138459421,14.96783931424992,0.4886175280532076
2,2,13,13,12,5,3,5,11,9,11,11,9,6,0,6,6,14,12,1,0.48146814950780326,0.004685245975617317,0.21805244347392264,0.1459040786941166,0.1351714520741059,0.3209373590029252,0.17477146633279983,0.009102709123705628,0.1316722381380963,0.26725439000441636,0.043668581993389924,0.08270642547453272,0.11939346391824937,0.18071411931736112,0.06380870452950482,0.24461563691136903,0.012206130600323564,0.0,0.00026630232603515715,0.0,0.07419224989454405,14.914021219062978,0.476069073458833
1,2,14,14,13,5,3,4,9,9,10,10,7,6,0,6,6,8,12,1,0.2740239128377253,0.046251105765493475,0.29108325001031116,0.01837630731047317,0.00042646441808905956,0.3497021297215958,0.029266509376050187,0.1630229921952517,0.4349983586070322,0.021087721944341074,0.43713906538303965,0.00493575302419294,0.025416402568755374,0.2836300977655755,0.3170983325376362,0.22768603090584635,0.04271562350833423,0.0,0.0021259569004688887,0.0,0.007988397519793047,14.94519394240596,0.45924874675012517
2,2,14,14,13,4,5,3,10,10,9,11,9,6,0,6,6,12,12,1,0.2268030352854969,0.028281989550236808,0.31471815100931555,0.8152048320187203,0.36403331128226285,0.8014014866480049,0.7043821679514422,0.3994727757460833,0.6277622331791912,0.4955633183607621,0.08169622396837653,0.4233225119496567,0.659723999862987,0.1388560403089243,0.05656809398434248,0.00027560392813943957,0.004303818643159443,0.0,0.009959596576658373,0.0,0.21369838058665813,14.964664459416948,0.4443334436851031
